state_fips,state_abbrev,state_name,region_code,division_code
01,AL,Alabama,3,6
02,AK,Alaska,4,9
04,AZ,Arizona,4,8
05,AR,Arkansas,3,7
06,CA,California,4,9
08,CO,Colorado,4,8
09,CT,Connecticut,1,1
10,DE,Delaware,3,5
11,DC,District of Columbia,3,5
12,FL,Florida,3,5
13,GA,Georgia,3,5
15,HI,Hawaii,4,9
16,ID,Idaho,4,8
17,IL,Illinois,2,3
18,IN,Indiana,2,3
19,IA,Iowa,2,4
20,KS,Kansas,2,4
21,KY,Kentucky,3,6
22,LA,Louisiana,3,7
23,ME,Maine,1,1
24,MD,Maryland,3,5
25,MA,Massachusetts,1,1
26,MI,Michigan,2,3
27,MN,Minnesota,2,4
28,MS,Mississippi,3,6
29,MO,Missouri,2,4
30,MT,Montana,4,8
31,NE,Nebraska,2,4
32,NV,Nevada,4,8
33,NH,New Hampshire,1,1
34,NJ,New Jersey,1,2
35,NM,New Mexico,4,8
36,NY,New York,1,2
37,NC,North Carolina,3,5
38,ND,North Dakota,2,4
39,OH,Ohio,2,3
40,OK,Oklahoma,3,7
41,OR,Oregon,4,9
42,PA,Pennsylvania,1,2
44,RI,Rhode Island,1,1
45,SC,South Carolina,3,5
46,SD,South Dakota,2,4
47,TN,Tennessee,3,6
48,TX,Texas,3,7
49,UT,Utah,4,8
50,VT,Vermont,1,1
51,VA,Virginia,3,5
53,WA,Washington,4,9
54,WV,West Virginia,3,5
55,WI,Wisconsin,2,3
56,WY,Wyoming,4,8
60,AS,American Samoa,4,9
66,GU,Guam,4,9
69,MP,Commonwealth of the Northern Mariana Islands,4,9
72,PR,Puerto Rico,3,5
74,UM,U.S. Minor Outlying Islands,4,9
78,VI,United States Virgin Islands,3,5
